1;JANDARK 5 MG 56 FILM KAPLI TABLET;L04AA29;tofacitinib;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
57;%17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
58;%20 DEKS SOL TORBA PVC 500 ML(SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
59;%20 DEKS SOL TORBA PVC 500 ML(SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
60;%20 DEKSTROZ 500 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
61;%20 DEKSTROZ 500 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
62;%20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
63;%20 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
64;%20 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
65;%20 MANNITOL SUDAKI COZELTISI  100 ML (SETLI-MEDIFLEKS);B05BC01;mannitol;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
66;%20 MANNITOL SUDAKI COZELTISI  100 ML (SETSIZ-MEDIFLEKS);B05BC01;mannitol;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
67;%20 MANNITOL SUDAKI COZELTISI 150 ML (SETLI-MEDIFLEKS);B05BC01;mannitol;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
68;%20 MANNITOL SUDAKI COZELTISI 150 ML (SETSIZ-MEDIFLEKS);B05BC01;mannitol;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
69;%20 MANNITOL SUDAKI COZELTISI 500 ML (SETLI-MEDIFLEKS);B05BC01;mannitol;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
70;%20 MANNITOL SUDAKI COZELTISI 500 ML (SETSIZ-MEDIFLEKS);B05BC01;mannitol;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
71;%20 MANNITOL SUDAKI SOLUSYON 1000 ML (CAM SISE) SETLI;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
72;%20 MANNITOL SUDAKI SOLUSYON 1000 ML (CAM SISE) SETSIZ;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
73;%20 MANNITOL SUDAKI SOLUSYON 500 ML (CAM SISE) SETLI;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
74;%20 MANNITOL SUDAKI SOLUSYON 500 ML (CAM SISE) SETSIZ;B05BC01;mannitol;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
75;%20 SODYUM KLORUR COZELTISI ICEREN 10 AMPUL;B05XA03;sodium chloride;ONFARMA ILAÇ SANAYI LTD.STI.;Normal
76;"%3 SODYUM KLORUR COZELTISI 150 ML (SETLI) ";B05XA03;sodium chloride;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
77;%3 SODYUM KLORUR COZELTISI 150 ML (SETSIZ);B05XA03;sodium chloride;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
78;%3 SODYUM KLORUR COZELTISI 250 ML (SETLI-MEDIFLEKS);B05XA03;sodium chloride;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
79;%3 SODYUM KLORUR COZELTISI 250 ML (SETSIZ-MEDIFLEKS);B05XA03;sodium chloride;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
80;%3 SODYUM KLORUR SOLUSYON 1000 ML CAM(SETLI);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
81;%3 SODYUM KLORUR SOLUSYON 1000 ML CAM(SETSIZ);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
82;%3 SODYUM KLORUR SOLUSYON 500 ML CAM(SETLI);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
83;%3 SODYUM KLORUR SOLUSYON 500 ML CAM(SETSIZ);B05XA03;sodium chloride;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
84;%30 DEKSTROZ 500 ML SOL. SETLI;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
85;%30 DEKSTROZ 500 ML SOLUSYON;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
86;%30 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
87;%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETLI-MEDIFLEKS);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
88;%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETSIZ-MEDIFLEKS);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
89;%30 DEKSTROZ SUDAKI SOLUSYON 250 ML SETSIZ;B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
90;%30 DEKSTROZ SUDAKI SOLUSYON 250 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
91;%5 DEKSTROZ  SUDAKI COZELTISI 50 ML (SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
92;%5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYON 500 ML SETLI SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
93;%5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
94;%5 DEKSTROZ %0,45 SODYUM KLORUR %0,3 POTASYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
95;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYON 1000 ML SETLI;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
96;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYON 500 ML SETLI;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
97;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETLI (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
98;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETSIZ (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
99;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETSIZ SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
100;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETLI (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
101;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
102;%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
103;%5 DEKSTROZ %0,9 SODYUM KLORUR BIOSEL SOLUSYON 1000 ML SETLI;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
104;%5 DEKSTROZ %0,9 SODYUM KLORUR BIOSEL SOLUSYON 500 ML SETLI;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
105;%5 DEKSTROZ %02 NACL PVC 250 ML(SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
106;%5 DEKSTROZ %02 NACL PVC 250 ML(SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
107;%5 DEKSTROZ %02 NACL PVC 500 ML(SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
108;%5 DEKSTROZ %02 NACL PVC 500 ML(SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
109;%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
110;%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
111;%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
112;%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
113;%5 DEKSTROZ 1000 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
114;%5 DEKSTROZ 1000 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
115;%5 DEKSTROZ 500 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
116;%5 DEKSTROZ 500 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
117;%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON 100 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
118;%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON 1000 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
119;%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON 250 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
120;%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON 500 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
121;%5 DEKSTROZ IZOTONIK SODYUM KLORUR 1000 ML (MEDIFLEKS-SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
122;%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
123;%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
124;%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
125;%5 DEKSTROZ LAKTAT RINGER 1000 ML SOLUSYON;B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
126;%5 DEKSTROZ LAKTAT RINGER 1000 ML SOLUSYON(SETLI);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
127;%5 DEKSTROZ LAKTAT RINGER 500 ML SOLUSYON;B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
128;%5 DEKSTROZ LAKTAT RINGER 500 ML SOLUSYON(SETLI);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
129;%5 DEKSTROZ LAKTAT RINGER PVC 1000 ML(SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
130;%5 DEKSTROZ LAKTATLI RINGER PVC 1000 ML(SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
131;%5 DEKSTROZ LAKTATLI RINGER PVC 500 ML(SETLI);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
132;%5 DEKSTROZ LAKTATLI RINGER PVC 500 ML(SETSIZ);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
133;%5 DEKSTROZ PVC 100 ML SOLUSYON;B05BA03;carbohydrates;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
134;%5 DEKSTROZ PVC 150 ML SOLUSYON;B05BA03;carbohydrates;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
135;%5 DEKSTROZ PVC 250 ML SOLUSYON;B05BA03;carbohydrates;KANSUK LABORATUARI SANAYI VE TICARET A.S.;Normal
136;%5 DEKSTROZ RINGER LAKTAT BIOSEL SOLUSYON 1000 ML SETLI SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
137;%5 DEKSTROZ RINGER LAKTAT BIOSEL SOLUSYON 500 ML SETLI SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
138;%5 DEKSTROZ SOLUSYONU BFS 500 ML (SETLI);B05BA03;carbohydrates;DEVA HOLDING A.S.;Normal
139;%5 DEKSTROZ SOLUSYONU BFS 500 ML (SETSIZ);B05BA03;carbohydrates;DEVA HOLDING A.S.;Normal
140;%5 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
141;%5 DEKSTROZ SUDAKI 250 ML SOLUSYON(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
142;%5 DEKSTROZ SUDAKI COZELTISI 100 ML (MEDIFLEKS-SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
143;%5 DEKSTROZ SUDAKI COZELTISI 100 ML (SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
144;%5 DEKSTROZ SUDAKI COZELTISI 1000 ML (MEDIFLEKS-SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
145;%5 DEKSTROZ SUDAKI COZELTISI 1000 ML (SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
146;%5 DEKSTROZ SUDAKI COZELTISI 150 ML (SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
147;%5 DEKSTROZ SUDAKI COZELTISI 150 ML (SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
148;%5 DEKSTROZ SUDAKI COZELTISI 250 ML (SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
149;%5 DEKSTROZ SUDAKI COZELTISI 250 ML (SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
150;%5 DEKSTROZ SUDAKI COZELTISI 50 ML (MEDIFLEKS-SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
151;%5 DEKSTROZ SUDAKI COZELTISI 500 ML (MEDIFLEKS-SETLI);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
152;%5 DEKSTROZ SUDAKI COZELTISI 500 ML (MEDIFLEKS-SETSIZ);B05BA03;carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
153;%5 DEKSTROZ SUDAKI COZELTISI BFS 1000 ML (SETSIZ);B05BA03;carbohydrates;DEVA HOLDING A.S.;Normal
154;%5 DEKSTROZ SUDAKI ÇÖZELTISI BFS (100 ML, 1 SISE, SETSIZ);B05BA03;carbohydrates;DEVA HOLDING A.S.;Normal
155;%5 DEKSTROZ-%0,9 SODYUM KLORUR 1000 CC SETLI (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
156;%5 DEKSTROZ-%0,9 SODYUM KLORUR 1000 CC SETSIZ (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
157;%5 DEKSTROZ-%0,9 SODYUM KLORUR 500 CC SETLI (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
